Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
27.37,507829,971,948,108696,419447,293270,166985,181056,85944,724120,376760,2337,2331,1647,626,NA,619,83,398,853,937,995,2633312,2030,664,235,1,1255399
26.58,202701,1022,954,25087,147952,118641,64365,53631,15761,272283,259093,853,853,723,237,NA,368,47,260,391,383,471,1107643,819,335,113,2,425440
29.84,261613,974,964,42579,182922,134908,79162,67938,21972,529393,180019,1476,1473,853,383,NA,450,63,254,424,486,679,1501589,1348,444,129,2,529481
21.46,356833,964,929,28268,288374,227075,118142,106971,38274,749689,180650,2201,2200,1948,682,NA,384,64,205,712,798,862,1803524,1777,527,152,0,807105
28.52,280883,896,911,35148,252606,240399,164047,194898,81681,420734,120628,811,810,736,243,NA,225,22,111,383,182,416,1568525,715,223,78,1,968781
26.19,170824,909,918,14093,175161,145677,76951,64461,18778,300615,135760,1089,1080,932,390,NA,178,26,82,437,211,405,1021653,915,283,75,0,495121
23.34,201489,926,934,35215,218513,144230,77818,60857,19959,399386,155395,1476,1474,1185,496,NA,214,30,114,483,253,393,1180323,1173,282,61,0,556592
31.32,10921,752,995,589,8674,5582,3788,4278,602,17553,5989,53,50,46,46,0,44,3,19,35,19,29,41030,42,20,14,0,23572
25.48,23244,929,965,902,24670,17862,8690,7112,1365,45407,7872,121,121,115,115,0,86,7,40,71,84,89,123256,107,60,33,0,60628
33.37,25477,927,968,1521,30474,20311,10169,9841,2292,57367,12326,145,145,142,134,0,99,5,37,83,98,106,131525,131,72,37,2,74614
37.17,54581,844,950,4668,45303,40720,25189,33463,10089,92577,23952,131,128,125,69,0,100,7,45,97,74,88,245040,112,69,50,1,159521
22.35,633033,971,957,70150,246806,471224,361514,568109,147823,850994,186103,619,619,617,75,2,616,113,183,552,467,609,2754756,554,243,154,14,1865707
9.76,962213,957,972,113528,332748,670347,570677,1108847,540339,1380757,107607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4343645,NA,NA,NA,NA,3336695
18.84,653241,975,960,213687,305858,517245,360999,435005,119364,916295,228634,1035,1035,1030,96,0,1032,112,279,841,769,938,2877468,807,308,170,23,1952198
15.09,756365,997,942,53477,389836,719830,445813,509488,85081,1172645,254535,783,783,758,82,83,756,80,105,715,673,718,3477317,729,369,246,8,2203552
16.66,638305,938,869,42162,322248,501096,244353,344470,61860,1188366,224884,1064,1064,1061,387,358,995,71,333,1057,898,968,2856300,876,391,324,8,1516221
6.8,489055,995,947,273676,219384,377565,202301,201644,22578,829944,234839,1037,1037,1031,105,94,1010,110,109,876,912,967,2186125,948,378,214,8,1297151
6.83,635210,984,961,58864,338585,574962,304065,327322,46718,1125229,319948,1428,1428,1407,319,299,969,86,253,1274,1197,1315,2960373,1313,477,314,9,1650528
16.28,736562,929,850,55021,310903,553461,288840,420270,105892,1279846,174799,554,553,542,94,21,327,70,212,508,428,492,3016346,475,191,144,8,1734442
13.08,394378,966,889,47065,160791,280134,139098,222932,53738,770940,71700,371,368,367,165,186,211,48,129,367,348,357,1493462,334,130,125,10,903802
10.94,698405,972,939,73915,289684,506636,245916,336318,69460,1317991,116414,434,434,434,18,17,344,42,262,433,398,428,2581500,405,195,132,14,1521955
7.69,182682,1014,979,10115,84574,146567,99968,167087,32785,310064,33321,41,41,41,9,3,37,25,26,40,37,37,762141,38,31,44,0,541099
20.4,1095354,963,962,877837,388483,646369,379972,533674,118923,1828629,148983,401,401,400,17,3,331,54,297,391,365,387,4271856,377,216,144,16,2945278
8.99,465179,986,930,72513,216427,392140,219830,235152,45680,841893,131439,337,337,337,59,57,283,60,210,299,305,312,1923014,322,194,109,9,1181746
9.32,237716,1010,929,19000,107892,183620,98317,129551,28348,445450,51014,175,175,175,3,3,100,29,21,172,169,171,935686,173,104,67,0,566728
8.76,569487,1001,954,42706,252645,465480,310766,471671,130165,927788,136733,436,435,436,120,114,259,42,66,408,397,428,2418366,420,252,143,8,1673478
7.97,121176,1006,936,12020,57450,92945,51152,61172,11449,222600,43107,143,143,143,0,0,110,15,84,135,143,143,493646,137,81,56,2,286197
9.06,165569,1006,948,15629,77585,126949,69827,83915,14700,251606,94285,187,187,187,35,35,132,31,69,183,182,183,695524,187,119,78,0,388605
7.43,511400,986,956,84550,231057,429640,265802,342720,66697,729764,243302,807,807,806,405,351,605,62,203,806,766,788,2285395,741,278,147,4,1420488
7.95,343613,1014,963,143622,157430,301142,183516,182133,28731,468754,117980,487,487,486,63,54,485,39,198,460,434,457,1488839,466,227,121,4,996580
5.92,275395,1014,970,58345,125555,257964,160095,164666,21672,386956,104047,541,541,540,11,11,539,58,134,475,446,526,1169474,500,197,106,3,788302
7.38,501890,1021,959,376191,192810,366755,239997,251526,48964,750032,147091,777,777,777,54,54,770,55,236,682,721,772,2216138,690,303,149,11,1476256
9.43,311567,1015,955,137241,160851,274368,150638,160456,23817,530282,148007,735,734,735,165,141,587,61,163,585,603,657,1459601,615,260,164,5,907376
4.32,267888,1038,952,36875,114524,234589,150263,165137,36606,408015,105487,511,510,511,173,121,375,41,182,483,472,499,1155356,456,207,150,12,738000
6.75,613475,978,925,353224,239962,461505,291362,347664,82913,949545,138998,550,550,550,131,116,403,39,282,516,475,521,2578201,464,191,142,15,1776654
4.33,272033,978,890,204681,106682,167050,101583,96051,16747,473708,46572,79,78,81,4,3,76,21,69,80,78,79,1093950,78,64,61,3,692797
11.92,447889,1012,958,227942,195093,337849,163100,178755,33822,802521,79282,484,484,484,64,50,232,46,103,430,370,449,1751301,440,161,140,8,1136574
5.73,266200,1036,963,28176,146470,266602,141011,147902,27178,433443,87130,356,354,352,179,83,137,43,30,215,309,309,1187604,326,140,92,20,757344
7.54,382260,1050,952,150539,188588,363353,195377,189290,44251,588596,90215,424,423,421,113,53,421,50,164,420,377,403,1572273,413,210,125,12,1131406
11.97,661944,1042,956,172218,328745,626456,324891,314809,61913,1120752,160365,445,445,442,55,47,391,58,194,430,385,424,2723988,417,251,168,17,1829064
4.34,376499,1014,968,159304,203021,338217,206633,332651,68484,454378,93678,69,69,67,7,1,62,14,56,64,66,66,1676034,61,55,65,9,1308322
18.29,321777,951,967,11270,299223,326328,212458,124022,61995,436870,97478,274,271,248,174,NA,219,35,28,226,180,245,1532982,275,221,217,2,1035378
6.1,164207,945,960,7824,163268,144445,86398,38584,18952,226467,77227,269,269,246,129,34,180,35,23,179,167,221,767440,264,190,167,3,459502
10.79,62085,935,964,2900,55253,52169,28224,15189,4660,92570,34191,148,147,108,47,8,58,12,8,75,72,127,307868,138,69,52,0,158397
26.44,116265,951,969,5818,130341,118853,61657,37898,14243,156385,38373,166,157,156,85,NA,121,33,24,132,94,136,590913,164,108,82,1,368822
23.35,456015,865,871,83149,386438,378461,244946,259613,89275,692341,125187,1239,1238,1188,404,NA,606,29,80,742,344,1071,2896863,995,285,97,4,1444013
24.61,529134,871,859,91426,452742,436539,322658,335119,99142,899536,273617,865,865,850,154,NA,506,52,73,700,359,817,3543362,794,286,121,22,1738529
27.16,482352,896,905,69827,400328,391724,281969,239162,77545,708265,176216,2049,2048,1871,273,NA,579,22,40,1340,344,1688,3131619,1382,348,93,13,1461119
26.45,573063,875,911,66718,372713,324557,259962,242977,91876,993623,188373,1519,1519,1134,520,NA,502,26,62,666,209,1090,3810983,1246,261,113,8,1358935
27.98,288333,879,921,49972,172387,142336,102778,90991,32679,457175,87236,1083,1083,916,442,NA,456,52,66,506,73,767,1923739,838,154,43,4,591351
29.72,227569,885,910,18356,169030,160661,118818,97240,27853,382742,95361,915,915,723,184,NA,320,13,11,267,78,624,1499068,672,129,51,5,592056
24.16,458106,872,856,36521,346517,366095,310234,387800,159151,737166,158690,611,611,606,60,85,351,34,65,349,248,569,2997361,555,246,96,6,1606469
13,168753,847,850,17377,135812,136783,130501,159698,35506,289862,90448,283,283,277,79,NA,111,17,26,181,114,244,1163991,262,111,90,6,615873
47.47,538009,860,854,46842,378697,412224,362683,485991,212861,799884,138367,512,512,513,100,NA,456,30,114,302,85,457,3290586,476,207,61,13,1899735
35.7,204302,841,853,17445,142970,141557,130814,158673,84210,308884,54930,388,388,360,144,NA,358,14,47,190,75,289,1202030,326,97,68,6,675669
22.22,456218,879,867,65687,338698,339719,295810,289415,78539,786708,387097,1119,1118,1054,297,NA,599,34,66,472,214,925,2913122,989,264,157,20,1408082
22.08,465488,862,885,53528,343151,320601,286958,314134,101715,697481,218817,1176,1176,1093,335,NA,512,20,62,561,138,919,2992286,1027,357,141,5,1420604
18.32,208613,858,885,20925,168516,159226,137286,150874,38630,295388,96582,652,652,570,253,NA,129,13,29,281,23,493,1336031,513,158,69,10,675483
26.95,317370,840,872,32537,260307,236973,195806,230782,69029,538167,232751,721,720,628,350,NA,260,15,33,345,74,597,2074516,624,215,102,9,1025566
31.27,544463,846,865,93457,420294,422524,342632,428490,145320,814102,170203,898,898,714,283,NA,324,39,70,396,146,753,3620436,817,225,79,10,1852919
33.44,308918,852,886,25244,270443,265743,215628,229765,58570,455028,103913,790,788,675,263,NA,338,21,68,272,96,583,2052958,662,203,78,16,1065525
24.2,427839,849,891,44689,317447,309113,241463,247453,60202,659834,142584,1502,1501,1014,364,NA,575,25,53,536,188,949,2790410,1219,350,136,21,1220398
21.5,243022,857,892,18133,195669,208417,197763,184805,37230,365115,74083,819,818,588,240,NA,192,24,39,231,47,514,1596718,653,193,64,12,842119
25.36,471156,842,889,35042,302281,229555,181719,136571,39150,768945,153155,1768,1767,1040,462,NA,448,26,71,420,197,917,3069426,1348,260,66,8,924643
26.96,554761,871,905,61313,390960,318039,272576,242633,101026,862821,232260,1855,1854,1301,1002,NA,353,20,37,823,155,1281,3618589,1394,277,60,3,1387124
28.11,254070,877,939,29001,200415,176658,130982,94681,25895,360300,101039,1191,1188,806,497,NA,150,8,24,426,110,771,1645183,860,174,24,2,657860
28.28,400657,842,897,46254,301453,267891,195084,153057,40276,615499,114026,2115,2114,1115,680,NA,537,31,59,582,109,998,2547855,1422,305,63,9,1004296
32.28,509388,871,942,112257,373346,332730,224634,152601,48189,838041,170511,1685,1683,1173,756,NA,594,35,80,930,176,886,3207232,1384,349,80,10,1244189
26.58,596177,864,935,88028,435619,374428,264396,186665,54991,923925,201584,2312,2312,1271,909,NA,603,49,60,962,131,1167,3619661,1747,473,88,8,1404443
23.67,560319,844,914,43704,421372,403917,282722,214492,53650,904115,193546,1864,1864,865,617,NA,463,30,58,432,170,1036,3398306,1498,408,113,26,1420161
22.72,465061,898,922,39489,329946,331098,260419,200805,53066,685498,240837,1675,1675,1000,679,NA,413,32,114,610,106,767,2700324,1273,339,100,12,1215090
33.25,644269,888,915,61069,389674,407935,360060,538835,371574,900181,186219,822,822,697,383,NA,272,25,32,372,50,582,3647834,686,159,42,6,2129942
23.66,499185,951,941,50749,330304,335367,257191,227681,57701,660527,362979,1719,1719,1609,690,NA,505,47,51,706,106,825,2872335,1270,301,111,35,1259547
22.8,241422,848,897,29656,194876,194992,160631,159121,41417,380901,81952,869,869,618,286,NA,176,11,34,474,132,488,1570408,683,190,87,11,780747
19.58,212647,866,911,18073,170818,175550,165586,138322,30008,347072,110519,686,685,459,270,NA,234,17,27,303,61,315,1388923,572,159,82,11,698434
21.59,214222,858,894,15189,167879,191208,182517,163037,46519,298612,69997,685,685,524,289,186,104,11,6,281,52,489,1338871,597,304,50,3,766407
14.7,193269,856,894,10306,152325,164161,167635,145814,40118,285149,103111,764,764,406,312,NA,126,14,5,206,70,466,1179993,602,269,63,8,680440
21.55,259937,852,892,40379,191474,204604,204088,175786,35974,377230,135981,965,965,526,261,NA,431,18,53,330,69,547,1563336,825,240,114,11,852350
27.17,714380,855,868,126997,427139,523812,513054,722936,344813,1040278,207555,897,897,633,373,NA,419,30,87,383,56,685,4167999,783,270,85,13,2659833
27.17,230664,849,889,25732,166869,198625,168398,170971,51376,356090,166791,916,916,618,436,NA,317,22,52,475,139,514,1454452,822,259,77,10,782033
23.23,289863,871,885,35153,199330,237254,202763,203745,80467,466903,179104,750,750,518,354,NA,285,15,41,381,146,435,1744931,657,203,40,4,958769
29.98,166012,882,930,10069,124307,112900,73177,46384,17649,289137,133228,669,669,352,237,NA,164,13,19,247,201,300,977734,569,155,14,0,384491
17.85,175948,851,903,14176,127621,132703,109254,81039,25732,270959,137741,512,512,345,206,NA,264,17,65,245,120,353,1043724,464,189,24,1,490606
21.8,118970,866,901,9387,88463,85608,62340,44785,15048,204026,95746,403,403,172,148,14,131,8,24,134,54,197,708447,358,99,11,0,305662
18.49,249911,860,916,21620,196964,177757,128951,106364,39166,412443,206918,675,675,438,238,133,191,14,33,243,112,374,1537334,590,246,35,4,670986
34.33,121827,873,928,45903,136948,88144,54894,52070,15028,224429,99527,524,524,270,156,53,138,17,18,124,57,211,766225,430,135,38,8,392997
21.4,390592,893,926,45058,276056,283399,212399,195708,49519,594435,275177,1339,1339,932,451,NA,304,30,45,364,90,675,2308384,1077,298,132,27,1062431
23.36,438936,1004,935,49846,327551,337855,243357,258383,60953,578632,337154,2179,2179,1717,1060,NA,504,34,35,688,209,1377,2731174,1374,354,151,20,1278271
26.73,217248,895,945,21421,146645,120937,81498,95162,16038,325303,181430,734,734,527,351,NA,266,16,53,158,81,528,1293154,545,187,73,12,481756
26.72,740941,879,917,152585,536398,542568,404832,616060,254138,1106598,564751,2783,2783,2289,1066,NA,651,53,66,910,201,1956,4936105,1733,613,214,61,2506942
26.4,459077,887,941,58697,283111,276581,197416,166060,40792,724352,259399,1816,1815,1095,795,NA,442,28,52,736,73,991,2673581,1303,241,68,10,1023004
23.87,343000,939,944,28168,243946,258162,182226,186048,61532,527901,295816,1227,1226,1041,372,NA,277,15,34,573,30,772,2088928,917,250,95,12,960361
24.31,294711,978,942,34697,252500,263863,182351,166943,54150,442210,235770,1666,1662,1334,700,NA,361,16,39,603,30,734,2026876,996,251,93,17,954537
24.2,507320,980,940,57138,385658,401426,291887,239948,72064,679114,353406,2484,2483,1955,742,NA,621,53,67,1019,125,1528,3214832,1713,427,133,32,1448422
29.55,385525,867,969,59540,202872,180251,98848,94105,30157,632957,211363,1189,1189,587,413,142,352,28,48,411,100,544,2381072,936,177,67,7,665826
27.3,189968,862,941,33104,92362,85177,53384,44076,10077,338879,147596,672,672,352,255,123,328,11,20,179,45,305,1176391,577,67,24,4,318353
23.08,256300,895,960,33743,150287,130160,68865,63201,18324,501620,212439,996,995,607,490,104,330,18,32,308,103,487,1682350,794,120,25,5,464587
25.46,429606,906,951,52860,264319,263721,164966,160639,42611,697223,241871,1813,1813,1065,659,NA,474,25,31,806,45,842,2765586,1307,252,54,13,949342
26.78,307765,948,963,42382,225046,195334,96690,96297,22990,493431,283056,2322,2320,1066,827,NA,402,25,51,345,86,1081,2040085,1172,194,59,8,678900
22.69,315309,938,938,42684,241829,227708,158454,165101,44900,483455,251721,3092,3092,1680,1085,NA,362,28,41,349,91,1331,2084814,1192,237,117,13,880827
23.64,209122,974,940,26910,171503,166682,96863,91256,20153,295045,194025,1555,1551,1045,784,NA,262,14,25,250,52,832,1420226,691,148,49,6,573384
29.27,334687,934,957,58490,245436,208643,130154,127993,29119,479400,371113,1189,1188,862,676,NA,311,25,42,410,92,730,2173878,859,174,68,10,799890
23.44,555775,960,933,49969,439965,417463,344819,403787,142000,692824,443471,2823,2823,1947,1252,NA,509,43,81,810,79,1603,3769456,1635,453,180,22,1798769
28.17,427910,963,954,44006,303093,277443,193620,213155,51110,574887,415236,1561,1560,1055,853,141,418,34,48,364,120,923,2893196,1224,243,107,26,1082779
25.03,379407,1002,947,45017,320758,293746,241401,313605,73776,465463,308439,1985,1985,1565,1038,NA,514,33,53,563,154,1206,2712650,1389,336,180,18,1288320
26.28,542994,1020,949,95354,481703,488064,301696,335005,88331,770269,429573,3702,3699,3223,782,NA,543,38,52,1013,243,2149,3939916,1753,432,169,30,1790357
27.91,250586,986,945,35732,240832,230309,151200,209941,51432,396864,202536,1458,1458,1378,387,NA,292,24,28,503,58,1000,1853997,849,252,88,12,919974
21.67,380008,953,942,50873,278437,290499,242750,356292,79805,504543,289892,1795,1793,1550,682,NA,457,39,49,538,215,1070,2761620,1056,316,145,8,1298700
21.67,549264,1014,930,130942,489839,474457,320040,353792,102382,789047,426468,3266,3264,2726,930,NA,621,30,46,873,191,2009,3911679,1919,539,256,40,1871674
26.18,426203,976,934,49690,358774,339108,271095,343199,83003,647379,306133,2597,2597,2283,851,NA,493,32,68,504,369,1317,3037582,1308,393,286,20,1444871
28.63,234574,922,936,22354,187013,183781,152196,190941,48931,339953,187680,1370,1363,927,530,NA,282,21,28,341,194,878,1643251,748,231,54,15,785284
25.51,430651,903,919,66079,397747,383652,276666,402220,167979,770799,211255,1268,1268,1198,274,NA,362,35,47,543,166,957,3138671,778,285,134,22,1694405
25.47,161865,917,915,19532,174634,167649,106412,125670,31499,271578,117056,1082,1082,971,413,NA,229,13,16,489,48,825,1353705,502,154,51,2,625404
27.62,305151,897,928,25322,257429,238563,165779,192266,55604,498926,215813,1731,1726,1198,673,NA,318,36,54,659,162,1002,2116042,1096,207,67,12,935101
36.13,251463,898,956,18763,158654,149164,96190,110600,37862,360180,177755,1342,1340,555,456,NA,207,17,24,265,114,566,1463519,744,139,51,8,571318
22.72,55558,941,942,4387,40355,40229,33196,30629,12283,114842,21062,675,656,570,557,4,106,8,20,195,188,194,295013,557,238,97,3,161161
13.51,76121,1016,934,7880,51642,66405,49191,45880,16250,96900,67829,1139,1116,883,870,8,147,8,6,357,212,204,370359,804,274,135,7,237354
13.44,47539,1115,953,2261,33501,39973,31298,25639,8386,76068,25965,654,648,593,534,11,143,5,10,255,231,206,227439,468,189,116,3,141078
16.15,117754,1049,927,4730,86479,86609,65227,71619,23069,181205,83510,1729,1519,1275,1255,NA,202,10,23,377,295,246,604747,1115,381,118,7,337816
24.71,239975,887,894,16937,153390,177169,149514,241917,137075,336504,63971,723,696,640,530,22,334,27,43,317,226,319,1282143,556,212,129,5,876441
3.87,149987,1106,929,5655,93020,117782,96994,112562,35643,171647,98224,3070,2853,2185,2051,21,392,19,18,580,634,366,697078,1549,483,190,12,461675
10.92,98514,1031,902,3921,68019,82525,65813,58872,17190,124062,74647,1564,1496,1159,1141,8,190,10,27,405,185,249,462289,821,275,124,8,296362
17.56,51949,1105,929,2747,38197,43314,33283,25892,5029,85613,33231,842,738,627,567,11,101,7,11,189,94,143,249462,483,128,76,1,148464
3.14,131052,1146,932,7012,90912,112370,85177,75309,21832,204649,87533,2165,2045,1791,1505,14,260,18,35,500,330,357,630567,1238,291,183,6,392640
9.21,43902,1021,934,1605,35900,39247,25803,21073,6311,56165,34043,649,574,395,379,7,67,11,13,168,60,147,224542,347,107,37,2,129947
32.88,142113,906,910,7442,105127,123772,93046,121368,57934,220995,57952,1074,1030,992,862,114,215,20,26,566,192,558,762909,645,278,91,7,508731
27.79,208076,902,913,19431,175226,168433,116119,130102,49692,300141,92015,669,658,646,250,NA,186,18,28,504,180,595,1235614,485,183,73,6,659165
26.3,240702,865,862,25424,185122,177673,133232,163777,69461,353556,71707,494,489,444,109,NA,296,23,30,321,126,448,1447187,422,120,42,5,754948
23.54,318737,937,961,26105,293918,238539,184564,192799,71644,478851,90591,633,554,391,377,8,395,27,141,281,252,385,1609172,472,161,90,3,1008288
21.52,688139,942,969,36191,726663,450354,294751,230179,70820,1025433,277703,741,732,524,462,NA,570,47,181,439,395,496,3401173,700,181,128,3,1810083
14.15,517878,949,963,23424,592743,365660,210694,153907,40012,754311,212394,1138,1137,583,537,26,758,40,203,323,337,519,2479155,922,184,159,3,1386965
28.72,464648,938,965,34890,407587,195557,147724,107439,29145,716483,219041,1465,1463,757,665,70,648,29,142,541,339,537,2441794,1044,136,108,1,923477
22.11,318079,951,965,17380,348112,182219,130432,93373,27518,471187,141541,1573,1573,892,717,NA,627,25,103,362,323,370,1503178,998,139,133,1,799479
24.77,631935,948,963,29219,581062,313521,203944,159619,44408,967143,373563,1637,1637,1126,922,NA,794,46,218,644,368,591,3290468,1144,262,214,5,1332704
23.7,1140095,952,971,66432,1087866,681327,384598,308022,91654,1672311,332863,1899,1899,1624,1035,NA,1273,83,385,680,569,891,5866569,1566,392,311,5,2620538
17.88,598429,950,963,29564,603030,371539,264683,209034,74737,831699,296798,2237,2234,1956,1605,NA,1018,73,162,837,752,813,3015422,1770,340,271,6,1553852
14.36,1390072,922,956,105666,1329183,991623,728878,748285,297950,1902334,548907,2437,2433,2207,1825,NA,1588,115,496,1372,1134,1626,6895514,2157,504,428,7,4205146
19.51,959987,946,971,42781,947612,695736,465510,364806,127632,1405724,209981,1245,1245,1161,752,NA,738,59,126,595,452,785,4604827,1133,283,244,6,2644461
22.64,1826518,926,957,92843,1711235,1423093,1133954,1167918,621001,2623352,364808,1567,1567,1274,943,NA,955,61,314,791,482,1286,8934286,1391,316,324,4,6151527
15.72,1043895,947,951,42708,1046502,854367,578414,543704,267093,1528040,331447,1884,1884,1826,1105,NA,1268,67,374,1080,759,1095,5041976,1607,371,289,9,3333988
13.79,606020,952,952,31455,640634,411875,330270,240753,78487,944216,483056,3548,3546,2214,2026,192,1081,86,291,841,1027,1122,3192695,2663,356,317,7,1734222
13.96,449895,954,964,30730,428648,276749,229429,166519,49425,645506,481982,2452,2443,1232,1201,6,1173,66,157,563,651,778,2536516,2135,270,195,6,1182284
15.68,1827721,955,951,86179,2465907,1586123,1034942,743625,246415,2530112,1220945,10475,10455,4835,4150,NA,3560,175,878,2128,1807,4166,9610788,6133,1122,831,22,6164316
14.6,838520,906,955,37531,890143,759810,506707,489226,211494,1224972,213902,726,726,682,623,NA,410,46,150,363,331,623,4273099,683,196,154,6,2895625
4.11,929586,829,927,90294,564119,627376,579556,863520,654046,1623779,93955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4572876,NA,NA,NA,NA,3382103
20.89,1321929,937,964,69188,1682734,1024531,641593,465067,182893,1678130,564630,2079,2077,1322,1300,6,1311,82,479,931,760,1634,6906689,1774,535,398,12,4067343
